(-9.490615380859374, -1.3958195678710936, -0.2561795776367187);(-2.5330653564453125, 9.299079248046874, 3.6176387084960937)
(-9.490615380859374, -1.5705962890624998, -0.2609679809570312);(-2.231395947265625, 9.289502441406249, 3.7110125732421873)
(-9.37808790283203, -1.5346832641601562, -0.24660277099609373);(-2.0757728393554684, 9.241618408203124, 3.6846763549804686)
(-9.495403784179686, -1.5203180541992187, -0.28490999755859375);(-2.1547814941406247, 9.397241516113281, 3.873818286132812)
(-9.540893615722656, -1.5921441040039062, -0.258573779296875);(-2.2481553588867187, 9.469067565917967, 3.9049429077148434)
(-9.651026892089844, -1.5346832641601562, -0.19393033447265623);(-2.1404162841796874, 9.430760339355468, 3.900154504394531)
(-9.5001921875, -1.5179238525390624, -0.1771709228515625);(-2.1068974609374997, 9.442731347656249, 4.065354418945312)
(-9.430760339355468, -1.5562310791015623, -0.17238251953125);(-2.2170307373046874, 9.497797985839844, 3.797203833007812)
(-9.488221179199218, -1.62805712890625, -0.24660277099609373);(-2.461239306640625, 9.277531433105468, 3.6679169433593746)
(-9.5001921875, -1.5203180541992187, -0.22744915771484372);(-2.4851813232421875, 9.222464794921875, 3.797203833007812)
(-9.497797985839844, -1.5322890624999999, -0.181959326171875);(-2.454056701660156, 9.490615380859374, 3.749319799804687)
(-9.373299499511718, -1.4891934326171874, -0.4165910888671875);(-2.4588451049804685, 9.447519750976562, 3.825934252929687)
(-9.641450085449218, -1.5658078857421873, -0.239420166015625);(-2.3319524169921872, 9.464279162597656, 3.73495458984375)
(-9.528922607421874, -1.5322890624999999, -0.21787235107421873);(-2.3726538452148436, 9.387664709472656, 3.8043864379882812)
(-9.425971936035156, -1.6831237670898436, -0.2609679809570312);(-2.602497204589844, 9.356540087890625, 3.5697546752929687)
(-9.516951599121093, -1.4772224243164063, -0.258573779296875);(-2.4061726684570313, 9.370905297851563, 3.584119885253906)
(-9.600748657226562, -1.5418658691406248, -0.181959326171875);(-2.327164013671875, 9.447519750976562, 3.5290532470703124)
(-9.509768994140625, -1.5777788940429687, -0.21787235107421873);(-2.1404162841796874, 9.593566052246093, 3.5218706420898434)
(-9.516951599121093, -1.5753846923828123, -0.16280571289062498);(-2.104503259277344, 9.512163195800781, 3.392583752441406)
(-9.41639512939453, -1.458068811035156, -0.22744915771484372);(-2.221819140625, 9.294290844726563, 3.366247534179687)
(-9.5001921875, -1.5801730957031248, -0.24899697265624998);(-2.1691467041015624, 9.442731347656249, 3.356670727539062)
(-9.497797985839844, -1.5227122558593749, -0.29448680419921874);(-1.9991583862304687, 9.49300958251953, 3.3016040893554686)
(-9.574412438964844, -1.5418658691406248, -0.22744915771484372);(-1.7334020019531249, 9.595960253906249, 3.4811692138671875)
(-9.65342109375, -1.5801730957031248, -0.20829554443359374);(-1.936909143066406, 9.672574707031249, 3.536235852050781)
(-9.639055883789062, -1.5514426757812498, -0.3064578125);(-1.886630908203125, 9.595960253906249, 3.488351818847656)
(-9.418789331054686, -1.5634136840820312, -0.05985504150390625);(-2.039859814453125, 9.471461767578125, 3.220201232910156)
(-9.509768994140625, -1.4125789794921875, -0.17477672119140625);(-2.138022082519531, 9.488221179199218, 3.3973721557617185)
(-9.536105212402344, -1.5945383056640625, -0.22266075439453123);(-1.9584569580078124, 9.437942944335937, 3.555389465332031)
(-9.483432775878907, -1.5370774658203123, -0.2920926025390625);(-1.936909143066406, 9.619902270507811, 3.402160559082031)
(-9.476250170898437, -1.5801730957031248, -0.20350714111328125);(-2.1164742675781247, 9.562441430664062, 3.4955344238281247)
(-9.478644372558593, -1.5298948608398437, -0.22266075439453123);(-1.956062756347656, 9.533711010742186, 3.5146880371093747)
(-9.447519750976562, -1.6136919189453125, -0.17238251953125);(-1.8555062866210936, 9.459490759277344, 3.411737365722656)
(-9.368511096191405, -1.388636962890625, -0.20350714111328125);(-1.8507178833007811, 9.464279162597656, 3.3877953491210935)
(-9.452308154296874, -1.5753846923828123, -0.17477672119140625);(-1.944091748046875, 9.543287817382812, 3.5865140869140624)
(-9.442731347656249, -1.5035586425781249, -0.17477672119140625);(-1.8411410766601561, 9.370905297851563, 3.404554760742187)
