(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
(-9.572018237304688, 0.411802685546875, -0.2442085693359375);(-2.9448680419921875, 8.796296899414061, 5.310339282226562)
(-9.636661682128906, 0.3950432739257812, -0.430956298828125);(-3.086125939941406, 8.930372192382812, 5.248090039062499)
(-9.600748657226562, 0.43574470214843747, -0.4836287353515625);(-3.418919970703125, 8.908824377441405, 5.351040710449219)
(-9.526528405761718, 0.4213794921875, -0.3399766357421875);(-3.6655227416992187, 8.836998327636719, 5.2648494506835934)
(-9.552864624023437, 0.33758243408203126, -0.19153613281249998);(-3.438073583984375, 8.781931689453124, 5.341463903808593)
(-9.598354455566406, 0.3447650390625, -0.34715924072265625);(-3.229778039550781, 8.738836059570312, 5.1714755859374995)
(-9.543287817382812, 0.4165910888671875, -0.36391865234375);(-3.347093920898437, 8.724470849609375, 5.202600207519531)
(-9.567229833984374, 0.39743747558593745, -0.36152445068359373);(-3.4356793823242184, 8.78432589111328, 5.209782812499999)
(-9.536105212402344, 0.430956298828125, -0.3902548706054687);(-3.5003228271484375, 8.681375219726561, 5.374982727050781)
(-9.631873278808593, 0.39743747558593745, -0.25139117431640623);(-3.545812658691406, 8.757989672851561, 5.329492895507812)
(-9.60793126220703, 0.40462008056640625, -0.4261678955078125);(-3.5434184570312497, 8.726865051269531, 5.322310290527343)
(-9.588777648925781, 0.3854664672851562, -0.3806780639648437);(-3.2561142578125, 8.858546142578124, 5.276820458984375)
(-9.552864624023437, 0.39983167724609375, -0.3495534423828125);(-3.1747114013671873, 8.872911352539061, 5.092466931152344)
(-9.574412438964844, 0.36152445068359373, -0.45010991210937495);(-3.124433166503906, 8.851363537597656, 5.303156677246093)
(-9.552864624023437, 0.4070142822265625, -0.41419688720703124);(-3.2058360229492187, 9.064447485351561, 4.939238024902344)
(-9.619902270507811, 0.5363011718749999, -0.3950432739257812);(-3.220201232910156, 8.939948999023438, 4.972756848144531)
(-9.572018237304688, 0.4165910888671875, -0.39264907226562495);(-3.3446997192382812, 8.904035974121093, 4.874594580078124)
(-9.562441430664062, 0.36391865234375, -0.4381389038085937);(-3.248931652832031, 8.932766394042968, 4.618415002441406)
(-9.619902270507811, 0.3806780639648437, -0.33039982910156246);(-3.1507693847656246, 9.057264880371093, 4.594472985839843)
(-9.572018237304688, 0.47884033203125, -0.30406361083984373);(-3.2345664428710936, 9.121908325195312, 4.446032482910156)
(-9.562441430664062, 0.41898529052734373, -0.32561142578124996);(-3.3327287109375, 8.908824377441405, 4.5585599609375)
(-9.53131680908203, 0.4477157104492187, -0.430956298828125);(-3.299209887695312, 8.916006982421875, 4.479551306152343)
(-9.548076220703125, 0.44053310546874996, -0.30885201416015623);(-3.361459130859375, 8.959102612304687, 4.398148449707031)
(-9.595960253906249, 0.36152445068359373, -0.4572925170898437);(-3.5482068603515624, 8.966285217285156, 4.44363828125)
(-9.588777648925781, 0.37828386230468747, -0.30885201416015623);(-3.7038299682617186, 8.75320126953125, 4.608838195800781)
(-9.524134204101562, 0.39264907226562495, -0.34715924072265625);(-3.768473413085937, 8.757989672851561, 4.695029455566406)
(-9.574412438964844, 0.3902548706054687, -0.3687070556640625);(-3.785232824707031, 8.882488159179687, 4.836287353515624)
(-9.562441430664062, 0.38307226562499996, -0.3112462158203125);(-3.6559459350585937, 8.961496813964843, 4.781220715332031)
(-9.588777648925781, 0.3806780639648437, -0.34715924072265625);(-3.670311145019531, 8.801085302734375, 4.680664245605469)
(-9.560047229003906, 0.4165910888671875, -0.4165910888671875);(-3.69664736328125, 8.84178673095703, 4.467580297851562)
(-9.514557397460937, 0.4860229370117187, -0.33518823242187495);(-3.816357446289062, 8.702923034667968, 4.474762902832031)
(-9.583989245605467, 0.44532150878906246, -0.38307226562499996);(-3.758896606445312, 8.67658681640625, 4.496310717773437)
(-9.622296472167967, 0.44053310546874996, -0.3327940307617187);(-3.766079211425781, 8.8489693359375, 4.474762902832031)
(-9.521740002441407, 0.3902548706054687, -0.34237083740234375);(-3.718195178222656, 8.623914379882812, 4.548983154296875)
(-9.548076220703125, 0.32082302246093747, -0.33518823242187495);(-3.6296097167968746, 8.79150849609375, 4.69263525390625)
(-9.610325463867188, 0.33518823242187495, -0.40462008056640625);(-3.6272155151367187, 8.693346228027343, 4.709394665527343)
(-9.603142858886718, 0.38786066894531246, -0.41419688720703124);(-3.7900212280273435, 8.604760766601562, 4.726154077148437)
(-9.660603698730467, 0.430956298828125, -0.45489831542968745);(-3.6727053466796873, 8.774749084472656, 4.7764323120117185)
(-9.610325463867188, 0.3806780639648437, -0.40940848388671874);(-3.584119885253906, 8.815450512695312, 4.802768530273437)
(-9.516951599121093, 0.40222587890625, -0.3854664672851562);(-3.394977954101562, 8.793902697753905, 4.896142395019531)
(-9.557653027343749, 0.3687070556640625, -0.2705447875976562);(-3.632003918457031, 8.82981572265625, 5.109226342773437)
(-9.536105212402344, 0.4429273071289062, -0.3711012573242187);(-3.5984850952148437, 8.724470849609375, 5.03740029296875)
(-9.636661682128906, 0.40940848388671874, -0.41419688720703124);(-3.7517140014648436, 8.710105639648438, 5.123591552734375)
(-9.572018237304688, 0.4429273071289062, -0.28490999755859375);(-3.806780639648437, 8.698134631347656, 5.178658190917968)
(-9.555258825683593, 0.3711012573242187, -0.36391865234375);(-3.488351818847656, 8.580818749999999, 5.142745166015625)
(-9.567229833984374, 0.42377369384765623, -0.3591302490234375);(-3.69664736328125, 8.487444885253906, 5.219359619140625)
(-9.53131680908203, 0.373495458984375, -0.34715924072265625);(-3.5218706420898434, 8.683769421386717, 5.49708701171875)
(-9.588777648925781, 0.41419688720703124, -0.16759411621093748);(-3.5913024902343746, 8.552088330078124, 5.4515971801757805)
(-9.567229833984374, 0.373495458984375, -0.296881005859375);(-3.7804444213867185, 8.358157995605469, 5.588066674804687)
(-9.564835632324218, 0.39983167724609375, -0.29927520751953124);(-3.7924154296875, 8.463502868652343, 5.595249279785156)
(-9.60793126220703, 0.35673604736328124, -0.45010991210937495);(-3.67749375, 8.365340600585936, 5.6383449096679685)
(-9.567229833984374, 0.37828386230468747, -0.3902548706054687);(-3.3590649291992185, 8.652644799804687, 5.705382556152343)
(-9.574412438964844, 0.42377369384765623, -0.3280056274414062);(-3.4356793823242184, 8.743624462890624, 5.760449194335937)
(-9.512163195800781, 0.3327940307617187, -0.3327940307617187);(-3.5529952636718747, 8.63109698486328, 5.80354482421875)
(-9.545682019042967, 0.3136404174804687, -0.3495534423828125);(-3.6631285400390623, 8.655039001464843, 5.947196923828125)
(-9.595960253906249, 0.41419688720703124, -0.4070142822265625);(-3.785232824707031, 8.434772448730468, 5.511452221679687)
(-9.555258825683593, 0.5051765502929687, -0.3806780639648437);(-3.938461730957031, 8.188169677734374, 5.858611462402344)
(-9.545682019042967, 0.4261678955078125, -0.373495458984375);(-3.758896606445312, 8.224082702636718, 5.755660791015624)
(-9.610325463867188, 0.59376201171875, -0.24899697265624998);(-3.5865140869140624, 8.530540515136718, 5.722141967773437)
(-9.536105212402344, 0.3950432739257812, -0.2920926025390625);(-3.5601778686523438, 8.621520178222656, 5.777208605957031)
(-9.583989245605467, 0.354341845703125, -0.373495458984375);(-3.5577836669921874, 8.820238916015624, 5.865794067382812)
(-9.579200842285156, 0.43574470214843747, -0.3112462158203125);(-3.536235852050781, 8.429984045410155, 5.6311623046875)
(-9.56962403564453, 0.3399766357421875, -0.37828386230468747);(-3.6463691284179687, 8.420407238769531, 5.406107348632812)
(-9.548076220703125, 0.4070142822265625, -0.44532150878906246);(-3.6727053466796873, 8.257601525878906, 5.580884069824219)
(-9.536105212402344, 0.34715924072265625, -0.2657563842773437);(-3.5577836669921874, 8.425195642089843, 5.76523759765625)
(-9.643844287109374, 0.3950432739257812, -0.33518823242187495);(-3.423708374023437, 8.444349255371094, 5.590460876464843)
(-9.521740002441407, 0.38307226562499996, -0.3399766357421875);(-3.651157531738281, 8.403647827148436, 5.954379528808594)
(-9.591171850585937, 0.38307226562499996, -0.3447650390625);(-3.4955344238281247, 8.219294299316406, 5.5641246582031245)
(-9.576806640625, 0.36391865234375, -0.411802685546875);(-3.5673604736328124, 8.28633194580078, 5.659892724609374)
(-9.622296472167967, 0.3591302490234375, -0.37828386230468747);(-3.5601778686523438, 8.556876733398436, 5.827486840820312)
(-9.564835632324218, 0.36391865234375, -0.2705447875976562);(-3.5913024902343746, 8.662221606445312, 5.734112976074218)
(-9.567229833984374, 0.39983167724609375, -0.4165910888671875);(-3.5865140869140624, 8.734047656249999, 5.719747766113281)
(-9.53131680908203, 0.38786066894531246, -0.3495534423828125);(-3.5697546752929687, 8.48505068359375, 5.422866760253906)
(-9.586383447265625, 0.3902548706054687, -0.373495458984375);(-3.4811692138671875, 8.463502868652343, 5.719747766113281)
(-9.579200842285156, 0.4213794921875, -0.37828386230468747);(-3.239354846191406, 8.652644799804687, 5.662286926269531)
(-9.516951599121093, 0.5961562133789062, -0.4070142822265625);(-3.1842882080078123, 8.59997236328125, 5.7125651611328125)
(-9.6151138671875, 0.4333505004882812, -0.3232172241210937);(-3.440467785644531, 8.494627490234375, 5.774814404296874)
(-9.591171850585937, 0.40462008056640625, -0.411802685546875);(-3.6343981201171873, 8.427589843749999, 5.693411547851563)
(-9.567229833984374, 0.4165910888671875, -0.373495458984375);(-3.7038299682617186, 8.396465222167969, 5.683834741210937)
(-9.545682019042967, 0.43574470214843747, -0.28490999755859375);(-3.6104561035156246, 8.604760766601562, 5.786785412597656)
(-9.588777648925781, 0.4070142822265625, -0.4070142822265625);(-3.7038299682617186, 8.44674345703125, 5.662286926269531)
(-9.603142858886718, 0.35673604736328124, -0.28012159423828126);(-3.785232824707031, 8.410830432128906, 5.5449710449218745)
(-9.550470422363281, 0.3136404174804687, -0.28012159423828126);(-3.902548706054687, 8.468291271972657, 5.65031591796875)
(-9.619902270507811, 0.39743747558593745, -0.3758896606445312);(-3.8857892944335934, 8.43956085205078, 5.700594152832031)
(-9.588777648925781, 0.36631285400390623, -0.40222587890625);(-3.8043864379882812, 8.461108666992187, 5.434837768554687)
(-9.574412438964844, 0.3495534423828125, -0.35194764404296874);(-3.9600095458984375, 8.406042028808594, 5.633556506347656)
(-9.550470422363281, 0.41898529052734373, -0.28969840087890625);(-3.9624037475585934, 8.343792785644531, 5.552153649902343)
(-9.572018237304688, 0.4572925170898437, -0.36391865234375);(-3.890577697753906, 8.40843623046875, 5.760449194335937)
(-9.552864624023437, 0.5722141967773438, -0.3112462158203125);(-3.782838623046875, 8.319850769042969, 5.801150622558594)
(-9.552864624023437, 0.5099649536132812, -0.3591302490234375);(-3.8690298828125, 8.389282617187499, 5.7149593627929685)
(-9.543287817382812, 0.33039982910156246, -0.33039982910156246);(-3.768473413085937, 8.415618835449218, 5.430049365234375)
(-9.536105212402344, 0.430956298828125, -0.37828386230468747);(-3.5122938354492184, 8.291120349121094, 5.746083984375)
(-9.5384994140625, 0.46208092041015625, -0.38786066894531246);(-3.5386300537109374, 8.535328918457031, 5.8226984375)
(-9.550470422363281, 0.4261678955078125, -0.3136404174804687);(-3.864241479492187, 8.846575134277343, 5.80354482421875)
(-9.612719665527344, 0.3711012573242187, -0.45010991210937495);(-4.046200805664062, 8.609549169921875, 5.724536169433593)
(-9.639055883789062, 0.36391865234375, -0.40222587890625);(-3.766079211425781, 8.544905725097657, 5.4515971801757805)
(-9.6151138671875, 0.32082302246093747, -0.35194764404296874);(-3.6391865234374996, 8.389282617187499, 5.580884069824219)
(-9.562441430664062, 0.3399766357421875, -0.2346317626953125);(-3.8379052612304685, 8.33182177734375, 5.72693037109375)
