(-9.619902270507811, 0.8307879760742187, -0.33039982910156246);(-0.201112939453125, 9.332598071289063, 5.741295581054687)
(-9.600748657226562, 0.8164227661132812, -0.29927520751953124);(-0.18914193115234373, 9.251195214843749, 5.700594152832031)
(-9.586383447265625, 0.8116343627929687, -0.2825157958984375);(-0.2442085693359375, 9.258377819824219, 5.686228942871093)
(-9.543287817382812, 0.7565677246093749, -0.488417138671875);(-0.2657563842773437, 9.191340173339842, 5.729324572753906)
(-9.560047229003906, 0.82360537109375, -0.33039982910156246);(-0.2154781494140625, 9.229647399902344, 5.6574985229492185)
(-9.557653027343749, 0.7757213378906249, -0.28490999755859375);(-0.2154781494140625, 9.284714038085937, 5.796362219238281)
(-9.627084875488281, 0.8307879760742187, -0.181959326171875);(-0.22744915771484372, 9.200916979980468, 5.700594152832031)
(-9.543287817382812, 0.7972691528320313, -0.3016694091796875);(-0.19632453613281248, 9.203311181640624, 5.7700260009765625)
(-9.552864624023437, 0.8403647827148437, -0.3447650390625);(-0.28490999755859375, 9.284714038085937, 5.691017346191406)
(-9.562441430664062, 0.8595183959960937, -0.32561142578124996);(-0.21308394775390624, 9.162609753417968, 5.7077767578125)
(-9.524134204101562, 0.8499415893554687, -0.28969840087890625);(-0.2753331909179687, 9.143456140136719, 5.80354482421875)
(-9.540893615722656, 0.8283937744140625, -0.316034619140625);(-0.1867477294921875, 9.244012609863281, 5.839457849121094)
(-9.574412438964844, 0.8020575561523438, -0.3399766357421875);(-0.2537853759765625, 9.210493786621093, 5.801150622558594)
(-9.543287817382812, 0.7589619262695312, -0.21308394775390624);(-0.19632453613281248, 9.265560424804686, 5.753266589355468)
(-9.588777648925781, 0.7781155395507812, -0.3327940307617187);(-0.15562310791015624, 9.236830004882812, 5.774814404296874)
(-9.603142858886718, 0.9145850341796874, -0.20350714111328125);(-0.18914193115234373, 9.150638745117186, 5.693411547851563)
(-9.524134204101562, 0.6440402465820312, -0.3136404174804687);(-0.1388636962890625, 9.294290844726563, 5.662286926269531)
(-9.540893615722656, 0.7709329345703124, -0.411802685546875);(-0.22026655273437498, 9.260772021484375, 5.686228942871093)
(-9.557653027343749, 0.8643067993164062, -0.33758243408203126);(-0.2442085693359375, 9.248801013183593, 5.820304235839844)
(-9.545682019042967, 0.8212111694335937, -0.29448680419921874);(-0.16041151123046873, 9.253589416503905, 5.7317187744140625)
(-9.512163195800781, 0.7924807495117187, -0.30406361083984373);(-0.16041151123046873, 9.275137231445312, 5.767631799316406)
(-9.437942944335937, 0.7924807495117187, -0.3136404174804687);(-0.23702596435546874, 9.220070593261719, 5.691017346191406)
(-9.548076220703125, 0.7900865478515624, -0.28969840087890625);(-0.24899697265624998, 9.220070593261719, 5.717353564453124)
(-9.548076220703125, 0.7972691528320313, -0.2753331909179687);(-0.2657563842773437, 9.325415466308593, 5.729324572753906)
(-9.5384994140625, 0.7589619262695312, -0.411802685546875);(-0.20350714111328125, 9.220070593261719, 5.693411547851563)
(-9.552864624023437, 0.7876923461914062, -0.2753331909179687);(-0.25139117431640623, 9.255983618164063, 5.772420202636718)
(-9.540893615722656, 0.8930372192382812, -0.39743747558593745);(-0.28490999755859375, 9.241618408203124, 5.758054992675781)
(-9.3852705078125, 0.6488286499023437, -0.45010991210937495);(-0.2825157958984375, 9.196128576660156, 5.971138940429687)
(-9.605537060546874, 0.6177040283203125, -0.36391865234375);(-0.22744915771484372, 9.222464794921875, 5.7149593627929685)
(-9.5384994140625, 0.8092401611328125, -0.4333505004882812);(-0.26336218261718747, 9.258377819824219, 5.698199951171874)
(-9.543287817382812, 0.8068459594726562, -0.38307226562499996);(-0.23223756103515625, 9.184157568359375, 5.633556506347656)
(-9.562441430664062, 0.8451531860351562, -0.19871873779296872);(-0.22026655273437498, 9.248801013183593, 5.645527514648437)
(-9.358934289550781, 0.8547299926757812, -0.27293898925781246);(-0.24181436767578124, 9.306261853027344, 5.7077767578125)
(-9.5001921875, 0.8379705810546875, -0.3687070556640625);(-0.28490999755859375, 9.284714038085937, 5.705382556152343)
(-9.588777648925781, 0.7972691528320313, -0.3950432739257812);(-0.22026655273437498, 9.296685046386719, 5.679046337890624)
(-9.567229833984374, 0.8259995727539062, -0.3184288208007812);(-0.23702596435546874, 9.203311181640624, 5.6383449096679685)
(-9.579200842285156, 0.8020575561523438, -0.26336218261718747);(-0.19153613281249998, 9.313444458007812, 5.702988354492187)
(-9.504980590820312, 0.8164227661132812, -0.2753331909179687);(-0.44053310546874996, 9.279925634765624, 5.741295581054687)
(-9.605537060546874, 0.8978256225585937, -0.316034619140625);(-0.2920926025390625, 9.220070593261719, 5.801150622558594)
(-9.595960253906249, 0.8571241943359375, -0.430956298828125);(-0.3064578125, 9.244012609863281, 5.738901379394531)
(-9.557653027343749, 0.8355763793945312, -0.2825157958984375);(-0.3232172241210937, 9.253589416503905, 5.777208605957031)
(-9.49300958251953, 0.814028564453125, -0.39743747558593745);(-0.36152445068359373, 9.184157568359375, 5.729324572753906)
(-9.5384994140625, 0.8044517578125, -0.4333505004882812);(-0.26815058593749996, 9.196128576660156, 5.710170959472656)
(-9.567229833984374, 0.7781155395507812, -0.373495458984375);(-0.30406361083984373, 9.227253198242186, 5.798756420898437)
(-9.354145886230468, 0.7805097412109374, -0.411802685546875);(-0.354341845703125, 9.066841687011719, 5.793968017578124)
(-9.557653027343749, 0.8092401611328125, -0.2825157958984375);(-0.32082302246093747, 9.210493786621093, 5.7843912109375)
(-9.552864624023437, 0.7781155395507812, -0.34715924072265625);(-0.3184288208007812, 9.289502441406249, 5.829881042480468)
(-9.572018237304688, 0.7637503295898437, -0.3399766357421875);(-0.33039982910156246, 9.275137231445312, 5.825092639160156)
(-9.6151138671875, 0.8547299926757812, -0.29927520751953124);(-0.28490999755859375, 9.227253198242186, 5.781997009277344)
(-9.512163195800781, 0.8379705810546875, -0.3591302490234375);(-0.3591302490234375, 9.251195214843749, 5.691017346191406)
(-9.512163195800781, 0.7996633544921875, -0.2154781494140625);(-0.354341845703125, 9.181763366699219, 5.7891796142578125)
(-9.351751684570312, 0.7972691528320313, -0.4429273071289062);(-0.1771709228515625, 9.275137231445312, 5.7891796142578125)
(-9.555258825683593, 0.8906430175781249, -0.19871873779296872);(-0.3399766357421875, 9.22485899658203, 5.746083984375)
(-9.504980590820312, 0.7996633544921875, -0.2657563842773437);(-0.29448680419921874, 9.246406811523437, 5.719747766113281)
(-9.557653027343749, 0.814028564453125, -0.3184288208007812);(-0.354341845703125, 9.222464794921875, 5.753266589355468)
(-9.552864624023437, 0.7613561279296874, -0.2609679809570312);(-0.316034619140625, 9.107543115234375, 5.774814404296874)
(-9.516951599121093, 0.7350199096679687, -0.3280056274414062);(-0.229843359375, 9.258377819824219, 5.865794067382812)
(-9.502586389160156, 0.852335791015625, -0.3327940307617187);(-0.44532150878906246, 9.217676391601563, 5.734112976074218)
(-9.502586389160156, 0.7924807495117187, -0.45010991210937495);(-0.316034619140625, 9.205705383300781, 5.722141967773437)
(-9.572018237304688, 0.8954314208984374, -0.4572925170898437);(-0.26336218261718747, 9.05965908203125, 5.7700260009765625)
(-9.545682019042967, 0.7948749511718749, -0.28969840087890625);(-0.33758243408203126, 9.253589416503905, 5.7700260009765625)
(-9.543287817382812, 0.7805097412109374, -0.33518823242187495);(-0.4572925170898437, 9.275137231445312, 5.817910034179687)
(-9.555258825683593, 0.7709329345703124, -0.26336218261718747);(-0.32561142578124996, 9.2320416015625, 5.772420202636718)
(-9.583989245605467, 0.8355763793945312, -0.30406361083984373);(-0.30406361083984373, 9.212887988281249, 5.772420202636718)
(-9.581595043945311, 0.8355763793945312, -0.3280056274414062);(-0.20350714111328125, 9.167398156738281, 5.755660791015624)
(-9.583989245605467, 0.8044517578125, -0.33758243408203126);(-0.24181436767578124, 9.234435803222656, 5.741295581054687)
(-9.552864624023437, 0.8499415893554687, -0.2920926025390625);(-0.316034619140625, 9.260772021484375, 5.870582470703124)
(-9.543287817382812, 0.7876923461914062, -0.258573779296875);(-0.34715924072265625, 9.255983618164063, 5.844246252441406)
(-9.533711010742186, 0.8044517578125, -0.4213794921875);(-0.28969840087890625, 9.229647399902344, 5.760449194335937)
(-9.548076220703125, 0.9002198242187499, -0.29448680419921874);(-0.26815058593749996, 9.244012609863281, 5.837063647460937)
(-9.562441430664062, 0.8116343627929687, -0.3806780639648437);(-0.2920926025390625, 9.236830004882812, 5.779602807617187)
(-9.564835632324218, 0.814028564453125, -0.28969840087890625);(-0.33039982910156246, 9.236830004882812, 5.6574985229492185)
(-9.583989245605467, 0.8044517578125, -0.24899697265624998);(-0.33758243408203126, 9.258377819824219, 5.80354482421875)
(-9.567229833984374, 0.7541735229492187, -0.3327940307617187);(-0.33758243408203126, 9.236830004882812, 5.80354482421875)
(-9.564835632324218, 0.8044517578125, -0.34715924072265625);(-0.3064578125, 9.227253198242186, 5.8083332275390624)
(-9.526528405761718, 0.7924807495117187, -0.316034619140625);(-0.316034619140625, 9.241618408203124, 5.746083984375)
(-9.562441430664062, 0.8116343627929687, -0.2753331909179687);(-0.36391865234375, 9.203311181640624, 5.76523759765625)
(-9.528922607421874, 0.7972691528320313, -0.26336218261718747);(-0.3495534423828125, 9.196128576660156, 5.734112976074218)
(-9.572018237304688, 0.8451531860351562, -0.2753331909179687);(-0.3687070556640625, 9.318232861328125, 5.710170959472656)
(-9.53131680908203, 0.7876923461914062, -0.23702596435546874);(-0.3495534423828125, 9.18655177001953, 5.772420202636718)
(-9.574412438964844, 0.7781155395507812, -0.2705447875976562);(-0.2920926025390625, 9.260772021484375, 5.849034655761718)
(-9.540893615722656, 0.8547299926757812, -0.29927520751953124);(-0.296881005859375, 9.05965908203125, 5.851428857421874)
(-9.586383447265625, 0.814028564453125, -0.3136404174804687);(-0.316034619140625, 9.220070593261719, 5.710170959472656)
(-9.579200842285156, 0.852335791015625, -0.3232172241210937);(-0.28012159423828126, 9.215282189941405, 5.930437512207031)
(-9.595960253906249, 0.6177040283203125, -0.19871873779296872);(-0.1580173095703125, 9.344569079589844, 5.693411547851563)
(-9.533711010742186, 0.7733271362304687, -0.3687070556640625);(-0.3447650390625, 9.282319836425781, 5.717353564453124)
(-9.567229833984374, 0.7685387329101562, -0.3327940307617187);(-0.296881005859375, 9.236830004882812, 5.68862314453125)
(-9.543287817382812, 0.7948749511718749, -0.3112462158203125);(-0.430956298828125, 9.267954626464844, 5.875370874023437)
(-9.641450085449218, 0.6512228515624999, -0.354341845703125);(-0.45010991210937495, 9.153032946777342, 5.774814404296874)
(-9.583989245605467, 0.7852981445312499, -0.16519991455078123);(-0.29927520751953124, 9.210493786621093, 5.738901379394531)
(-9.600748657226562, 0.8068459594726562, -0.3447650390625);(-0.16280571289062498, 9.258377819824219, 5.781997009277344)
(-9.579200842285156, 0.7852981445312499, -0.30885201416015623);(-0.18435352783203124, 9.2320416015625, 5.722141967773437)
