(1.426944189453125, 0.44532150878906246, 9.890447058105469);(0.469263525390625, -11.899182250976562, 3.4715924072265625)
(1.4963760375976562, 0.47165772705078124, 9.763554370117188);(0.7613561279296874, -11.324573852539062, 3.689464758300781)
(1.4772224243164063, 0.488417138671875, 9.763554370117188);(-0.031124621582031248, -10.570400329589843, 4.053383410644531)
(1.4987702392578124, 0.5099649536132812, 9.816226806640625);(-0.3184288208007812, -11.231199987792968, 3.864241479492187)
(1.4628572143554686, 0.55545478515625, 9.900023864746093);(0.07422025146484375, -12.976572998046874, 4.3622354248046875)
(1.5059528442382812, 0.46208092041015625, 9.746794958496093);(0.6871358764648438, -11.669338891601562, 5.647921716308593)
(1.5059528442382812, 0.4644751220703125, 9.727641345214844);(0.7326257080078125, -10.187328063964843, 4.685452648925781)
(1.407790576171875, 0.603338818359375, 9.859322436523437);(0.4836287353515625, -9.138667736816405, 4.474762902832031)
(1.4437036010742186, 0.4572925170898437, 9.727641345214844);(0.5195417602539062, -7.972691528320312, 4.386177441406249)
(1.4125789794921875, 0.5027823486328125, 9.787496386718749);(0.737414111328125, -7.766790185546874, 4.608838195800781)
(1.5298948608398437, 0.47165772705078124, 9.840168823242188);(0.63206923828125, -8.815450512695312, 4.467580297851562)
(1.47482822265625, 0.4525041137695312, 9.739612353515625);(0.9241618408203125, -9.53131680908203, 4.627991809082031)
(1.4221557861328125, 0.5243301635742187, 9.900023864746093);(0.8092401611328125, -9.062053283691405, 4.2329485351562495)
(1.4867992309570313, 0.49320554199218747, 9.789890588378906);(0.8882488159179687, -9.105148913574219, 3.9552211425781247)
(1.448492004394531, 0.4955997436523437, 9.883264453125);(0.9864110839843749, -9.56962403564453, 4.666299035644531)
(1.4963760375976562, 0.3112462158203125, 9.753977563476562);(1.0079588989257813, -9.10993731689453, 4.876988781738281)
(1.4437036010742186, 0.603338818359375, 9.957484704589843);(1.3742717529296875, -8.010998754882811, 4.247313745117188)
(1.5155296508789062, 0.41898529052734373, 9.7683427734375);(1.3383587280273437, -5.971138940429687, 3.361459130859375)
(1.448492004394531, 0.45968671875, 9.665392102050781);(0.9959878906249999, -3.9264907226562498, 2.932897033691406)
(1.47482822265625, 0.40940848388671874, 9.787496386718749);(0.5770026000976562, -1.7238251953125, 2.01112939453125)
(1.4772224243164063, 0.5099649536132812, 9.746794958496093);(0.5626373901367188, -0.63206923828125, 0.6105214233398437)
(1.484405029296875, 0.45010991210937495, 9.694122521972655);(1.5658078857421873, -3.9624037475585934, 0.7158662963867187)
(1.4915876342773438, 0.46208092041015625, 9.715670336914062);(1.6136919189453125, -11.901576452636718, 1.946485949707031)
(1.5322890624999999, 0.469263525390625, 9.744400756835937);(0.26815058593749996, -19.6133, 3.5865140869140624)
(1.5083470458984374, 0.46686932373046874, 9.773131176757811);(-3.0119056884765625, -19.6133, 2.4684219116210935)
(1.446097802734375, 0.5746083984375, 9.720458740234374);(-0.22505495605468748, -19.6133, 4.237736938476562)
(1.47482822265625, 0.59376201171875, 9.749189160156249);(0.20350714111328125, -19.6133, 2.829946362304687)
(1.43652099609375, 0.5865794067382812, 9.83777462158203);(-0.06943184814453125, -19.6133, 2.166752502441406)
(1.4413093994140624, 0.59376201171875, 9.718064538574218);(0.6967126831054687, -19.6133, 4.819527941894531)
