(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
(0.45968671875, 0.6057330200195312, 9.861716638183593);(1.8555062866210936, 8.595183959960938, -3.4811692138671875)
(0.47165772705078124, 0.7589619262695312, 9.904812268066406);(2.0374656127929685, 8.47786807861328, -3.447650390625)
(0.4525041137695312, 0.6344634399414062, 10.000580334472655);(2.2601263671875, 8.276755139160155, -3.5960908935546874)
(0.5482721801757812, 0.6344634399414062, 9.90241806640625);(2.3511060302734372, 8.37012900390625, -3.2441432495117186)
(0.4429273071289062, 0.6416460449218749, 9.900023864746093);(2.4205378784179685, 8.44674345703125, -3.1364041748046874)
(0.4740519287109375, 0.70868369140625, 9.931148486328125);(2.578555187988281, 8.468291271972657, -3.0741549316406247)
(0.4860229370117187, 0.6296750366210937, 9.86411083984375);(2.626439221191406, 8.743624462890624, -2.844311572265625)
(0.4860229370117187, 0.6488286499023437, 9.80665);(2.5857377929687497, 8.757989672851561, -2.8323405639648436)
(0.4836287353515625, 0.6560112548828124, 9.823409411621093);(2.602497204589844, 8.66940421142578, -2.530671154785156)
(0.4740519287109375, 0.6344634399414062, 9.801861596679688);(2.492363928222656, 9.081206896972656, -2.5330653564453125)
(0.46686932373046874, 0.6464344482421874, 9.871293444824218);(2.5234885498046875, 9.17458076171875, -2.5354595581054684)
(0.5123591552734374, 0.6464344482421874, 9.981426721191406);(2.2481553588867187, 9.330203869628905, -2.7078420776367187)
(0.5291185668945312, 0.6703764648437499, 9.943119494628906);(1.8602946899414061, 9.373299499511718, -2.731784094238281)
(0.5243301635742187, 0.6536170532226562, 9.89523546142578);(1.8171990600585937, 8.86812294921875, -2.2266075439453124)
(0.4860229370117187, 0.63206923828125, 9.734823950195311);(1.1851298217773436, 9.380482104492186, -1.7717092285156248)
(0.5363011718749999, 0.6177040283203125, 9.859322436523437);(0.5051765502929687, 10.608707556152343, -0.8547299926757812)
(0.4477157104492187, 0.6655880615234374, 9.871293444824218);(0.1005564697265625, 10.89840595703125, -0.488417138671875)
(0.47884033203125, 0.6105214233398437, 9.832986218261718);(-0.1292868896484375, 10.450690246582031, -0.6105214233398437)
(0.5027823486328125, 0.7110778930664062, 9.81862100830078);(-0.16519991455078123, 10.232817895507813, 0.00239420166015625)
(0.5051765502929687, 0.6512228515624999, 9.892841259765625);(-0.22744915771484372, 10.36210478515625, 0.12689268798828124)
(0.46686932373046874, 0.6153098266601562, 9.87608184814453);(-0.02633621826171875, 9.811438403320311, 0.7134720947265625)
(0.6057330200195312, 0.6727706665039062, 9.892841259765625);(-0.033518823242187495, 8.94473740234375, 1.2425906616210938)
(0.32082302246093747, 0.5698199951171875, 9.866505041503906);(-0.612915625, 9.006986645507812, 1.4508862060546874)
(0.603338818359375, 0.6607996582031249, 9.91438907470703);(-0.9050082275390624, 9.193734375, 1.5610194824218748)
(0.4836287353515625, 0.6392518432617187, 9.900023864746093);(-1.3024457031249999, 8.913612780761719, 1.8435352783203125)
(0.47884033203125, 0.6392518432617187, 9.880870251464843);(-1.1420341918945311, 9.476250170898437, 1.8722656982421875)
(0.4836287353515625, 0.6655880615234374, 9.866505041503906);(-0.8403647827148437, 9.306261853027344, 2.461239306640625)
(0.46686932373046874, 0.6775590698242188, 9.90241806640625);(-0.6248866333007812, 9.394847314453125, 2.664746447753906)
(0.3327940307617187, 0.4860229370117187, 9.81862100830078);(-0.11731588134765625, 10.333374365234375, 4.101267443847656)
(0.4165910888671875, 0.6967126831054687, 10.072406384277343);(-0.3232172241210937, 7.223306408691406, 1.4963760375976562)
(0.3447650390625, 0.7015010864257812, 9.916783276367187);(0.5626373901367188, 9.588777648925781, 3.7229835815429686)
(0.48123453369140623, 0.6272808349609375, 9.952696301269532);(0.39983167724609375, 7.850587243652344, 2.987963671875)
(0.3902548706054687, 0.6368576416015624, 9.87608184814453);(0.43574470214843747, 9.112331518554686, 3.4739866088867184)
(0.4740519287109375, 0.6607996582031249, 9.758765966796874);(0.5386953735351562, 6.042964990234375, 2.43250888671875)
(0.5506663818359374, 0.6536170532226562, 9.83777462158203);(0.7422025146484375, 7.970297326660156, 3.6080619018554687)
(0.469263525390625, 0.7445967163085937, 9.665392102050781);(1.4413093994140624, 9.89523546142578, 3.8091748413085935)
(0.5410895751953124, 0.737414111328125, 9.854534033203125);(1.6400281372070311, 10.8409451171875, 4.077325427246094)
(0.5243301635742187, 0.7062894897460937, 9.89523546142578);(1.7094599853515624, 10.251971508789062, 4.553771557617187)
(0.5530605834960938, 0.6703764648437499, 9.995791931152343);(0.4836287353515625, 8.86094034423828, 4.264073156738281)
