(0.16998831787109375, 1.4101847778320311, 10.038887561035155);(-1.8626888916015625, 9.708487731933593, 2.5809493896484375)
(0.1388636962890625, 1.4604630126953124, 9.993397729492187);(-1.8459294799804686, 9.579200842285156, 2.6599580444335937)
(0.1005564697265625, 1.3910311645507811, 9.952696301269532);(-1.6160861206054686, 9.624690673828125, 2.5234885498046875)
(0.12449848632812499, 1.419761584472656, 9.981426721191406);(-1.7549498168945312, 9.624690673828125, 2.5641899780273434)
(0.05746083984375, 1.429338391113281, 9.909600671386718);(-1.8938135131835936, 9.334992272949219, 2.602497204589844)
(0.062249243164062495, 1.429338391113281, 10.019733947753906);(-1.6998831787109374, 9.485826977539062, 2.770091320800781)
(0.0718260498046875, 1.2737152832031249, 9.993397729492187);(-1.7525556152343749, 9.674968908691406, 2.8754361938476563)
(0.1005564697265625, 1.5203180541992187, 10.007762939453125);(-1.6328455322265625, 9.871293444824218, 2.808398547363281)
(0.05746083984375, 1.458068811035156, 10.005368737792969);(-1.7669208251953124, 9.423577734375, 2.8323405639648436)
(0.05746083984375, 1.3958195678710936, 9.986215124511718);(-1.3623007446289062, 9.83777462158203, 3.057395520019531)
(0.105344873046875, 1.419761584472656, 10.000580334472655);(-1.2880804931640624, 9.94072529296875, 2.829946362304687)
(0.0526724365234375, 1.4508862060546874, 10.024522351074218);(-1.429338391113281, 9.536105212402344, 3.0837317382812497)
(0.00718260498046875, 1.35990654296875, 10.103531005859374);(-1.465251416015625, 9.469067565917967, 3.1028853515624997)
(0.05746083984375, 1.3192051147460937, 10.029310754394531);(-1.1611878051757811, 9.672574707031249, 3.2249896362304686)
(0.1197100830078125, 1.3120225097656248, 9.952696301269532);(-1.254561669921875, 9.974244116210937, 3.0526071166992184)
(0.13646949462890623, 1.4508862060546874, 10.041281762695311);(-1.4006079711914061, 9.524134204101562, 3.404554760742187)
(0.076614453125, 1.3814543579101561, 9.950302099609374);(-1.5155296508789062, 9.991003527832031, 3.3303345092773435)
(0.08379705810546874, 1.446097802734375, 9.832986218261718);(-1.5251064575195312, 9.387664709472656, 3.2034418212890623)
(0.06943184814453125, 1.43652099609375, 9.962273107910155);(-1.2976572998046874, 9.70369932861328, 3.4069489624023435)
(0.07422025146484375, 1.5155296508789062, 9.821015209960937);(-1.1444283935546875, 9.7683427734375, 3.5098996337890624)
(0.055066638183593745, 1.5131354492187499, 9.928754284667969);(-0.7302315063476562, 9.794678991699218, 3.4332851806640625)
(0.12449848632812499, 1.39821376953125, 9.988609326171874);(-0.6607996582031249, 9.452308154296874, 2.7916391357421872)
(0.13407529296874998, 1.4532804077148436, 9.955090502929687);(-1.2928688964843749, 9.629479077148437, 3.308786694335937)
(0.040701428222656245, 1.3575123413085937, 9.988609326171874);(-1.448492004394531, 9.651026892089844, 3.5098996337890624)
(0.08140285644531249, 1.429338391113281, 9.952696301269532);(-0.9552864624023437, 9.631873278808593, 3.689464758300781)
(0.040701428222656245, 1.3862427612304686, 9.9981861328125);(-0.6392518432617187, 9.753977563476562, 4.122815258789062)
(0.016759411621093748, 1.3958195678710936, 10.043675964355469);(-0.6679822631835937, 9.809044201660155, 3.5098996337890624)
(0.0526724365234375, 1.4101847778320311, 10.007762939453125);(-0.5315127685546874, 9.516951599121093, 3.593696691894531)
(0.2705447875976562, 1.2521674682617188, 9.928754284667969);(-0.6368576416015624, 9.64623848876953, 3.5721488769531247)
(0.076614453125, 1.3575123413085937, 9.938331091308592);(-0.63206923828125, 9.746794958496093, 3.6056677001953124)
(0.1005564697265625, 1.3551181396484375, 10.072406384277343);(-0.9002198242187499, 9.634267480468749, 3.842693664550781)
(0.07422025146484375, 1.37906015625, 9.897629663085937);(-0.699106884765625, 9.718064538574218, 3.794809631347656)
(0.11731588134765625, 1.446097802734375, 9.816226806640625);(-0.565031591796875, 9.579200842285156, 3.778050219726562)
(0.1005564697265625, 1.4173673828125, 9.93354268798828);(-0.33758243408203126, 9.619902270507811, 3.6679169433593746)
(0.09337386474609374, 1.35990654296875, 10.007762939453125);(-0.00718260498046875, 9.758765966796874, 3.892971899414062)
(0.11013327636718749, 1.3766659545898436, 10.053252770996092);(0.0909796630859375, 9.514557397460937, 3.861847277832031)
(0.10295067138671875, 1.3311761230468748, 9.935936889648437);(-0.2346317626953125, 9.746794958496093, 3.778050219726562)
(0.0143652099609375, 1.4317325927734375, 9.947907897949218);(-0.4644751220703125, 9.593566052246093, 3.83072265625)
(0.00718260498046875, 1.35990654296875, 9.93354268798828);(-0.5674257934570313, 9.600748657226562, 4.043806604003906)
(0.02633621826171875, 1.3311761230468748, 10.09395419921875);(0.11252747802734374, 9.682151513671874, 4.197035510253906)
(0.06943184814453125, 1.407790576171875, 10.072406384277343);(0.1484405029296875, 9.773131176757811, 3.447650390625)
(0.11252747802734374, 1.3527239379882812, 9.919177478027343);(-0.23702596435546874, 9.550470422363281, 3.816357446289062)
(0.08140285644531249, 1.3168109130859373, 9.983820922851562);(-0.35194764404296874, 9.713276135253906, 4.024652990722656)
(0.19632453613281248, 1.4053963745117186, 9.938331091308592);(-0.6871358764648438, 9.758765966796874, 4.010287780761718)
(0.1197100830078125, 1.3862427612304686, 9.995791931152343);(-0.4955997436523437, 9.603142858886718, 4.151545678710937)
(0.04548983154296875, 1.4317325927734375, 10.105925207519531);(-0.3184288208007812, 9.718064538574218, 4.125209460449218)
